question,answer
"Theo Luật Luật tổ chức VKSND 2014, số lượng, cơ cấu tỷ lệ các ngạch Điều tra viên của Viện kiểm sát nhân dân tối cao do ai quyết định",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát hoạt động tư pháp trong giai đoạn truy tố là:","Kiến nghị cơ quan, tổ chức hữu quan áp dụng biện pháp phòng ngừa tội phạm và vi phạm pháp luật"
"Theo Luật Luật tổ chức VKSND 2014, Tổng biên chế, số lượng Kiểm sát viên của Viện kiểm sát nhân dân tối cao do ai quyết định",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát hoạt động tư pháp trong giai đoạn truy tố là:","Kiểm sát hoạt động tố tụng hình sự của người tham gia tố tụng; yêu cầu, kiến nghị cơ quan, tổ chức, cá nhân có thẩm quyền xử lý nghiêm minh người tham gia tố tụng vi phạm pháp luật"
"Theo Luật Luật tổ chức VKSND 2014, Tổng biên chế, số lượng Kiểm sát viên của Viện kiểm sát quân sự trung ương do ai quyết định",Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Lời tuyên thệ của Người được bổ nhiệm vào các ngạch Kiểm sát viên là:","Tuyệt đối trung thành với Tổ quốc, tận tụy phục vụ nhân dân"
"Theo Luật Luật tổ chức VKSND 2014, Giấy chứng nhận Điều tra viên do ai quy định, cấp và quản lý",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Số lượng Kiểm sát viên Viện kiểm sát nhân dân tối cao không quá bao nhiêu người?",19
"Theo Luật Luật tổ chức VKSND 2014, Kinh phí hoạt động của Viện kiểm sát quân sự do ai quyết định?",Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào biệt phái Kiểm sát viên, Điều tra viên, Kiểm tra viên, quân nhân khác, công chức, viên chức của Viện kiểm sát quân sự đến làm việc ở cơ quan nhà nước hoặc đơn vị khác theo yêu cầu nhiệm vụ?",Bộ trưởng Bộ Quốc phòng
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát nhân dân tối cao có trách nhiệm báo cáo đơn vị nào công tác giải quyết khiếu nại, tố cáo trong hoạt động tư pháp?",Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Cơ quan, người có thẩm quyền trong việc tạm giữ, tạm giam phải chuyển cho Viện kiểm sát nhân dân khiếu nại, tố cáo của người bị tạm giữ, tạm giam trong thời hạn bao nhiêu giờ, kể từ khi nhận được khiếu nại, tố cáo?",24
"Theo Luật Luật tổ chức VKSND 2014, Kinh phí hoạt động của Viện kiểm sát nhân dân do ai quyết định?",Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Kiểm tra viên có mấy ngạch",3
"Theo Luật Luật tổ chức VKSND 2014, Phó thủ trưởng Cơ quan điều tra Viện kiểm sát nhân dân tối cao do ai bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Chủ tịch Hội đồng thi tuyển Kiểm sát viên sơ cấp, Kiểm sát viên trung cấp, Kiểm sát viên cao cấp là?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Người được bổ nhiệm vào các ngạch Kiểm sát viên phải tuyên thệ mấy nội dung:",5
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát viên được bổ nhiệm lần đầu có thời hạn là mấy năm?",5
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm kỳ của Kiểm sát viên được bổ nhiệm lại hoặc nâng ngạch thì thời hạn là mấy năm?",10
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên cao cấp là:",Đã trúng tuyển kỳ thi vào ngạch Kiểm sát viên cao cấp
"Theo Luật Luật tổ chức VKSND 2014, Giấy chứng nhận Kiểm tra viên do ai quy định, cấp và quản lý",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát xét xử vụ án hình sự là?",tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Thủ trưởng Cơ quan điều tra Viện kiểm sát nhân dân tối cao do ai bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên cao cấp là:",Đã là Kiểm sát viên trung cấp ít nhất 05 năm
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát viên đương nhiên bị cách chức chức danh Kiểm sát viên khi nào?",Khi bị kết tội bằng bản án của Tòa án đã có hiệu lực pháp luật
"Theo Luật Luật tổ chức VKSND 2014, Chế độ tiền lương đối với Kiểm sát viên, Điều tra viên, Kiểm tra viên, quân nhân khác, công chức, viên chức và người lao động khác của Viện kiểm sát quân sự:",thực hiện theo chế độ của quân đội
"Theo Luật Luật tổ chức VKSND 2014, Kiểm tra viên có những nhiệm vụ, quyền hạn nào sau đây:",tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào điều động, luân chuyển Kiểm sát viên, Kiểm tra viên, quân nhân khác, công chức, viên chức giữa các Viện kiểm sát quân sự không cùng quân khu và tương đương?",Bộ trưởng Bộ Quốc phòng
"Theo Luật Luật tổ chức VKSND 2014, Những việc Kiểm sát viên không được làm",tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát viên đương nhiên được miễn nhiệm chức danh Kiểm sát viên khi nào?",do chuyển ngành
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào quyết định điều động, luân chuyển công chức giữa các Viện kiểm sát nhân dân trong cùng một tỉnh, thành phố trực thuộc trung ương?",Viện trưởng Viện kiểm sát nhân dân cấp tỉnh
"Theo Luật Luật tổ chức VKSND 2014, Trụ sở, trang thiết bị, phương tiện làm việc của Viện kiểm sát quân sự do ai bảo đảm?",Chính phủ
"Theo Luật Luật tổ chức VKSND 2014, Hội đồng tuyển chọn Kiểm sát viên Viện kiểm sát nhân dân tối cao gồm có Chủ tịch là chỉ thể nào?",Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Lời tuyên thệ của Người được bổ nhiệm vào các ngạch Kiểm sát viên là","Không ngừng phấn đấu, học tập và làm theo lời dạy của Chủ tịch Hồ Chí Minh “Công minh, chính trực, khách quan, thận trọng, khiêm tốn”"
"Theo Luật Luật tổ chức VKSND 2014, Kiểm tra viên không có ngạch nào sau đây",Kiểm tra viên trung cấp
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:",tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:","đề nghị Ủy ban thường vụ Quốc hội giải thích Hiến pháp, luật, pháp lệnh"
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên trung cấp là:",Đã là Kiểm sát viên sơ cấp ít nhất 05 năm
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát quân sự trung ương có Viện trưởng là ngạch Kiểm sát viên loại nào?",Kiểm sát viên Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát viên, Điều tra viên, Kiểm tra viên của Viện kiểm sát quân sự được cấp trang phục theo chế độ của đơn vị nào?",quân đội
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong giai đoạn truy tố là?","Quyết định gia hạn, không gia hạn thời hạn truy tố, thời hạn áp dụng các biện pháp ngăn chặn"
