question,correct_answer,incorrect_1,incorrect_2,incorrect_3
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát hoạt động tư pháp trong giai đoạn truy tố là:","Kiến nghị cơ quan, tổ chức hữu quan áp dụng biện pháp phòng ngừa tội phạm và vi phạm pháp luật",Tất cả đều đúng,"Quyết định truy tố, không truy tố bị can","Quyết định gia hạn, không gia hạn thời hạn truy tố, thời hạn áp dụng các biện pháp ngăn chặn"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát hoạt động tư pháp trong giai đoạn truy tố là:","Kiểm sát hoạt động tố tụng hình sự của người tham gia tố tụng; yêu cầu, kiến nghị cơ quan, tổ chức, cá nhân có thẩm quyền xử lý nghiêm minh người tham gia tố tụng vi phạm pháp luật",Tất cả đều đúng,"Quyết định truy tố, không truy tố bị can","Quyết định gia hạn, không gia hạn thời hạn truy tố, thời hạn áp dụng các biện pháp ngăn chặn"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát hoạt động tư pháp trong giai đoạn truy tố là:","Kiến nghị cơ quan, tổ chức hữu quan áp dụng biện pháp phòng ngừa tội phạm và vi phạm pháp luật","Yêu cầu cơ quan, tổ chức, cá nhân cung cấp tài liệu liên quan đến vụ án trong trường hợp cần thiết.","Trực tiếp tiến hành một số hoạt động điều tra nhằm kiểm tra, bổ sung tài liệu, chứng cứ để quyết định việc truy tố hoặc khi Tòa án yêu cầu điều tra bổ sung mà xét thấy không cần phải trả hồ sơ cho Cơ quan điều tra","Quyết định khởi tố, thay đổi, bổ sung quyết định khởi tố vụ án, khởi tố bị can trong trường hợp phát hiện vụ án còn có hành vi phạm tội, người phạm tội khác chưa được khởi tố, điều tra và trả hồ sơ cho Cơ quan điều tra để điều tra bổ sung"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát hoạt động tư pháp trong giai đoạn truy tố là:","Kiểm sát hoạt động tố tụng hình sự của người tham gia tố tụng; yêu cầu, kiến nghị cơ quan, tổ chức, cá nhân có thẩm quyền xử lý nghiêm minh người tham gia tố tụng vi phạm pháp luật","Yêu cầu cơ quan, tổ chức, cá nhân cung cấp tài liệu liên quan đến vụ án trong trường hợp cần thiết.","Trực tiếp tiến hành một số hoạt động điều tra nhằm kiểm tra, bổ sung tài liệu, chứng cứ để quyết định việc truy tố hoặc khi Tòa án yêu cầu điều tra bổ sung mà xét thấy không cần phải trả hồ sơ cho Cơ quan điều tra","Quyết định khởi tố, thay đổi, bổ sung quyết định khởi tố vụ án, khởi tố bị can trong trường hợp phát hiện vụ án còn có hành vi phạm tội, người phạm tội khác chưa được khởi tố, điều tra và trả hồ sơ cho Cơ quan điều tra để điều tra bổ sung"
"Theo Luật Luật tổ chức VKSND 2014, Lời tuyên thệ của Người được bổ nhiệm vào các ngạch Kiểm sát viên là:","Tuyệt đối trung thành với Tổ quốc, tận tụy phục vụ nhân dân","Bảo đảm tính hệ thống, thống nhất, liên tục, thông suốt và hiệu quả.",Tất cả đều đúng,"Công khai, minh bạch, đúng thẩm quyền và có sự kiểm tra, giám sát."
"Theo Luật Luật tổ chức VKSND 2014, Lời tuyên thệ của Người được bổ nhiệm vào các ngạch Kiểm sát viên là:",Đấu tranh không khoan nhượng với mọi tội phạm và vi phạm pháp luật,"Bảo đảm tính hệ thống, thống nhất, liên tục, thông suốt và hiệu quả.",Tất cả đều đúng,"Tuyệt đối trung thành với Tổ quốc, tận tụy phục vụ nhân dân"
"Theo Luật Luật tổ chức VKSND 2014, Số lượng Kiểm sát viên Viện kiểm sát nhân dân tối cao không quá bao nhiêu người?",19,20,21,18
"Theo Luật Luật tổ chức VKSND 2014, Kinh phí hoạt động của Viện kiểm sát quân sự do ai quyết định?",Quốc hội,Ủy ban thường vụ Quốc hội,Chính phủ,Chủ tịch nước
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào biệt phái Kiểm sát viên, Điều tra viên, Kiểm tra viên, quân nhân khác, công chức, viên chức của Viện kiểm sát quân sự đến làm việc ở cơ quan nhà nước hoặc đơn vị khác theo yêu cầu nhiệm vụ?",Bộ trưởng Bộ Quốc phòng,Ủy ban thường vụ Quốc hội,Tư lệnh quân khu và tương đương,Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát nhân dân tối cao có trách nhiệm báo cáo đơn vị nào công tác giải quyết khiếu nại, tố cáo trong hoạt động tư pháp?",Quốc hội,Chính phủ,Chủ tịch nước,Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Cơ quan, người có thẩm quyền trong việc tạm giữ, tạm giam phải chuyển cho Viện kiểm sát nhân dân khiếu nại, tố cáo của người bị tạm giữ, tạm giam trong thời hạn bao nhiêu giờ, kể từ khi nhận được khiếu nại, tố cáo?",24,48,36,12
"Theo Luật Luật tổ chức VKSND 2014, Kinh phí hoạt động của Viện kiểm sát nhân dân do ai quyết định?",Quốc hội,Ủy ban thường vụ Quốc hội,Chính phủ,Chủ tịch nước
"Theo Luật Luật tổ chức VKSND 2014, Phó thủ trưởng Cơ quan điều tra Viện kiểm sát nhân dân tối cao do ai bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao,Ủy ban thường vụ Quốc hội,Chính phủ,Chủ tịch nước
"Theo Luật Luật tổ chức VKSND 2014, Chủ tịch Hội đồng thi tuyển Kiểm sát viên sơ cấp, Kiểm sát viên trung cấp, Kiểm sát viên cao cấp là?",Viện trưởng Viện kiểm sát nhân dân tối cao,đại diện lãnh đạo Bộ Quốc phòng,Viện trưởng Viện kiểm sát nhân dân cấp cao,Ủy ban Thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Người được bổ nhiệm vào các ngạch Kiểm sát viên phải tuyên thệ mấy nội dung:",5,4,6,7
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát viên được bổ nhiệm lần đầu có thời hạn là mấy năm?",5,10,3,4
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm kỳ của Kiểm sát viên được bổ nhiệm lại hoặc nâng ngạch thì thời hạn là mấy năm?",10,7,5,9
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên cao cấp là:",Đã trúng tuyển kỳ thi vào ngạch Kiểm sát viên cao cấp,"Có năng lực thực hành quyền công tố, kiểm sát hoạt động tư pháp",Có thời gian làm công tác pháp luật từ 07 năm trở lên,
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên cao cấp là:",Đã là Kiểm sát viên trung cấp ít nhất 05 năm,"Có năng lực thực hành quyền công tố, kiểm sát hoạt động tư pháp",Có thời gian làm công tác pháp luật từ 07 năm trở lên,Đã trúng tuyển kỳ thi vào ngạch Kiểm sát viên cao cấp
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát xét xử vụ án hình sự là?",tất cả đều đúng,"Kháng nghị bản án, quyết định của Tòa án có vi phạm nghiêm trọng về thủ tục tố tụng","Kiểm sát hoạt động tố tụng hình sự của người tham gia tố tụng; yêu cầu, kiến nghị cơ quan, tổ chức có thẩm quyền xử lý nghiêm minh người tham gia tố tụng vi phạm pháp luật.","Yêu cầu Tòa án cùng cấp, cấp dưới chuyển hồ sơ vụ án hình sự để xem xét, quyết định việc kháng nghị."
"Theo Luật Luật tổ chức VKSND 2014, Thủ trưởng Cơ quan điều tra Viện kiểm sát nhân dân tối cao do ai bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao,Chính phủ,Chủ tịch nước,Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên cao cấp là:",Đã trúng tuyển kỳ thi vào ngạch Kiểm sát viên cao cấp,Đã là Kiểm sát viên trung cấp ít nhất 05 năm,Đã là Kiểm sát viên trung cấp ít nhất 07 năm,Đã là Kiểm sát viên trung cấp ít nhất 04 năm
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên cao cấp là:",Đã là Kiểm sát viên trung cấp ít nhất 05 năm,Đã là Kiểm sát viên trung cấp ít nhất 07 năm,Đã là Kiểm sát viên trung cấp ít nhất 04 năm,Đã là Kiểm sát viên trung cấp ít nhất 03 năm
